"Tanggal","Harga","Lower","Upper"
895,4757.25493149308,4592.47807815039,4922.03178483577
896,4757.93810259095,4432.07377800235,5095.36027767481
897,4758.6213717964,4277.2720172825,5274.79250322894
898,4759.30473912351,4127.87711265808,5460.54340338366
899,4759.98820458638,3983.70021554816,5652.83548916551
